date,cases,deaths,cum_cases,cum_deaths,mortality
1/13/2021,204122,2534,22623492,392567,0.012414144
1/14/2021,217776,3600,22841268,396167,0.016530747
1/15/2021,226378,4066,23067646,400233,0.017961109
1/16/2021,223583,3762,23291229,403995,0.016825966
1/17/2021,237318,3384,23528547,407379,0.014259348
1/18/2021,209511,3549,23738058,410928,0.016939445
1/19/2021,186583,2600,23924641,413528,0.013934817
1/20/2021,154205,2250,24078846,415778,0.014590967
1/21/2021,150233,2738,24229079,418516,0.018225024
1/22/2021,188266,3826,24417345,422342,0.02032231
1/23/2021,187644,3853,24604989,426195,0.020533564
1/24/2021,189419,3679,24794408,429874,0.01942255
1/25/2021,165512,3073,24959920,432947,0.01856663
1/26/2021,141554,2477,25101474,435424,0.017498622
1/27/2021,135591,2037,25237065,437461,0.015023121
1/28/2021,145943,3576,25383008,441037,0.024502717
1/29/2021,158965,3950,25541973,444987,0.024848237
1/30/2021,156822,3870,25698795,448857,0.02467766
1/31/2021,164238,3266,25863033,452123,0.019885776
2/1/2021,138823,2827,26001856,454950,0.020364061
2/2/2021,111938,2291,26113794,457241,0.020466687
2/3/2021,129043,2229,26242837,459470,0.017273312
2/4/2021,121330,2947,26364167,462417,0.024289129
2/5/2021,108669,3280,26472836,465697,0.030183401
2/6/2021,122620,3127,26595456,468824,0.02550155
2/7/2021,124827,3399,26720283,472223,0.027229686
2/8/2021,110180,2803,26830463,475026,0.025440189
2/9/2021,92931,1771,26923394,476797,0.01905715
2/10/2021,80726,1668,27004120,478465,0.020662488
2/11/2021,91417,2470,27095537,480935,0.027019045
2/12/2021,98339,2813,27193876,483748,0.028605131
2/13/2021,99548,3252,27293424,487000,0.032667658
2/14/2021,97431,5061,27390855,492061,0.051944453
2/15/2021,85221,3316,27476076,495377,0.038910597
2/16/2021,67413,1572,27543489,496949,0.023318944
2/17/2021,58066,1387,27601555,498336,0.023886612
2/18/2021,56871,1407,27658426,499743,0.024740202
2/19/2021,63770,2181,27722196,501924,0.034201035
2/20/2021,68568,2247,27790764,504171,0.032770389
2/21/2021,73576,2322,27864340,506493,0.031559204
2/22/2021,65510,1839,27929850,508332,0.02807205
2/23/2021,56628,1525,27986478,509857,0.026930141
2/24/2021,55821,1487,28042299,511344,0.02663872
2/25/2021,70162,1718,28112461,513062,0.024486189
2/26/2021,72358,1975,28184819,515037,0.02729484
2/27/2021,71998,2850,28256817,517887,0.039584433
2/28/2021,73274,1966,28330091,519853,0.026830799
3/1/2021,68298,1634,28398389,521487,0.023924566
3/2/2021,52570,1026,28450959,522513,0.019516835
3/3/2021,51114,1323,28502073,523836,0.02588332
3/4/2021,53761,1128,28555834,524964,0.020981753
3/5/2021,66043,1896,28621877,526860,0.028708569
3/6/2021,64859,1515,28686736,528375,0.023358362
3/7/2021,64094,1924,28750830,530299,0.03001841
3/8/2021,57710,1277,28808540,531576,0.022127881
3/9/2021,43758,895,28852298,532471,0.020453403
3/10/2021,42703,802,28895001,533273,0.018780882
3/11/2021,54088,1201,28949089,534474,0.022204556
3/12/2021,61755,1576,29010844,536050,0.025520201
3/13/2021,59764,1317,29070608,537367,0.022036678
3/14/2021,64222,1491,29134830,538858,0.023216343
3/15/2021,52274,958,29187104,539816,0.01832651
3/16/2021,47230,651,29234334,540467,0.013783612
3/17/2021,43532,693,29277866,541160,0.015919324
3/18/2021,51806,853,29329672,542013,0.016465274
3/19/2021,59588,1075,29389260,543088,0.018040545
3/20/2021,63099,956,29452359,544044,0.015150795
3/21/2021,62022,1078,29514381,545122,0.017380929
3/22/2021,58456,718,29572837,545840,0.012282743
3/23/2021,45228,553,29618065,546393,0.012226939
3/24/2021,48228,938,29666293,547331,0.019449283
3/25/2021,57684,753,29723977,548084,0.01305388
3/26/2021,68021,1126,29791998,549210,0.016553711
3/27/2021,65367,981,29857365,550191,0.015007573
3/28/2021,74834,1042,29932199,551233,0.013924152
3/29/2021,63203,851,29995402,552084,0.013464551
3/30/2021,53256,618,30048658,552702,0.011604326
3/31/2021,58014,548,30106672,553250,0.009445996
4/1/2021,61789,729,30168461,553979,0.011798217
4/2/2021,69567,948,30238028,554927,0.013627151
4/3/2021,73685,816,30311713,555743,0.011074167
4/4/2021,70446,842,30382159,556585,0.011952417
4/5/2021,63695,708,30445854,557293,0.011115472
4/6/2021,45722,532,30491576,557825,0.011635537
4/7/2021,56400,362,30547976,558187,0.00641844
4/8/2021,63657,749,30611633,558936,0.011766184
4/9/2021,74627,821,30686260,559757,0.01100138
4/10/2021,75434,867,30761694,560624,0.011493491
4/11/2021,76415,864,30838109,561488,0.011306681
4/12/2021,68111,740,30906220,562228,0.010864618
4/13/2021,53239,468,30959459,562696,0.008790548
4/14/2021,60435,533,31019894,563229,0.008819393
4/15/2021,72206,751,31092100,563980,0.010400798
4/16/2021,70654,782,31162754,564762,0.011068022
4/17/2021,71498,794,31234252,565556,0.011105206
4/18/2021,71074,807,31305326,566363,0.011354363
4/19/2021,77212,627,31382538,566990,0.008120499
4/20/2021,49337,499,31431875,567489,0.010114113
4/21/2021,35281,463,31467156,567952,0.013123211
4/22/2021,57318,746,31524474,568698,0.013015109
4/23/2021,63049,767,31587523,569465,0.012165141
4/24/2021,61479,784,31649002,570249,0.012752322
4/25/2021,62419,835,31711421,571084,0.013377337
4/26/2021,51698,654,31763119,571738,0.012650393
4/27/2021,40847,435,31803966,572173,0.010649497
4/28/2021,30199,467,31834165,572640,0.015464088
4/29/2021,50313,546,31884478,573186,0.010852066
4/30/2021,54396,832,31938874,574018,0.015295242
5/1/2021,55643,753,31994517,574771,0.0135327
5/2/2021,55311,806,32049828,575577,0.014572147
5/3/2021,48352,616,32098180,576193,0.012739907
5/4/2021,36593,500,32134773,576693,0.013663815
5/5/2021,32953,470,32167726,577163,0.014262738
5/6/2021,42552,674,32210278,577837,0.015839444
5/7/2021,44541,714,32254819,578551,0.016030174
5/8/2021,42692,671,32297511,579222,0.01571723
5/9/2021,44641,806,32342152,580028,0.018055151
5/10/2021,37021,609,32379173,580637,0.016450123
5/11/2021,27538,408,32406711,581045,0.014815891
5/12/2021,24383,395,32431094,581440,0.016199811
5/13/2021,33073,598,32464167,582038,0.018081214
5/14/2021,35784,679,32499951,582717,0.018974961
5/15/2021,40435,583,32540386,583300,0.014418202
5/16/2021,35116,701,32575502,584001,0.01996241
5/17/2021,29837,442,32605339,584443,0.014813822
5/18/2021,21375,437,32626714,584880,0.020444444
5/19/2021,19453,362,32646167,585242,0.018608955
5/20/2021,27639,610,32673806,585852,0.022070263
5/21/2021,27491,583,32701297,586435,0.02120694
5/22/2021,27948,541,32729245,586976,0.019357378
5/23/2021,27866,649,32757111,587625,0.023290031
5/24/2021,22224,409,32779335,588034,0.018403528
5/25/2021,16030,287,32795365,588321,0.01790393
5/26/2021,14761,555,32810126,588876,0.037599079
5/27/2021,24571,518,32834697,589394,0.021081763
5/28/2021,23475,517,32858172,589911,0.022023429
5/29/2021,21970,545,32880142,590456,0.024806554
5/30/2021,24780,703,32904922,591159,0.028369653
5/31/2021,15628,301,32920550,591460,0.019260302
6/1/2021,12350,254,32932900,591714,0.020566802
6/2/2021,9408,232,32942308,591946,0.024659864
6/3/2021,8935,332,32951243,592278,0.037157247
6/4/2021,16048,492,32967291,592770,0.030658026
6/5/2021,18151,478,32985442,593248,0.026334637
6/6/2021,18592,586,33004034,593834,0.031518933
6/7/2021,14734,394,33018768,594228,0.026740871
6/8/2021,11084,423,33029852,594651,0.038163118
6/9/2021,9898,322,33039750,594973,0.032531825
6/10/2021,14314,313,33054064,595286,0.021866704
6/11/2021,19640,387,33073704,595673,0.019704684
6/12/2021,15924,382,33089628,596055,0.023988948
